path,quality,group,gsplit
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155232_1.jpg,Bad,1130,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_163031.jpg,Bad,1131,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_102006.jpg,Bad,1132,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_171130_1.jpg,Bad,1133,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160207_1.jpg,Bad,1134,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_114045_1.jpg,Bad,1135,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_101446_1.jpg,Bad,1136,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153226_1.jpg,Bad,1137,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154259.jpg,Bad,1138,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_115538_1.jpg,Bad,1139,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153950_1.jpg,Bad,1140,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150806_1.jpg,Bad,1141,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_151756_1.jpg,Bad,1142,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153151_1.jpg,Bad,1143,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170217_1.jpg,Bad,1144,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_115217.jpg,Bad,1145,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154858.jpg,Bad,1146,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161708_1.jpg,Bad,1147,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150412_1.jpg,Bad,1148,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160705.jpg,Bad,1149,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_102208_1.jpg,Bad,1150,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153751_1.jpg,Bad,1151,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153600_1.jpg,Bad,1152,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_115347_1.jpg,Bad,1153,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170148.jpg,Bad,1154,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155448_1.jpg,Bad,1155,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160710_1.jpg,Bad,1156,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160335_1.jpg,Bad,1157,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153242.jpg,Bad,1158,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162231.jpg,Bad,1159,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170711_1.jpg,Bad,1160,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_121920_1.jpg,Bad,1161,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_165849_1.jpg,Bad,1162,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161307_1.jpg,Bad,1163,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_112002_1.jpg,Bad,1164,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153545_1.jpg,Bad,1165,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_112122_1.jpg,Bad,1166,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155746_1.jpg,Bad,1167,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_101949.jpg,Bad,1168,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162802_1.jpg,Bad,1169,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161551.jpg,Bad,1170,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160329.jpg,Bad,1171,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_165632.jpg,Bad,1172,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155154_1.jpg,Bad,1173,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154908_1.jpg,Bad,1174,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155622.jpg,Bad,1175,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153610_1.jpg,Bad,1176,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153625_1.jpg,Bad,1177,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152216.jpg,Bad,1178,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162220_1.jpg,Bad,1179,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162343.jpg,Bad,1180,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161042_1.jpg,Bad,1181,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154628.jpg,Bad,1182,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_165943_1.jpg,Bad,1183,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154437_1.jpg,Bad,1184,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152417_1.jpg,Bad,1185,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161606_1.jpg,Bad,1186,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154351_1.jpg,Bad,1187,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150546_1.jpg,Bad,1188,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_105950_1.jpg,Bad,1189,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154415_1.jpg,Bad,1190,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_102122_1.jpg,Bad,1191,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152158.jpg,Bad,1192,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162955_1.jpg,Bad,1193,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152330_1.jpg,Bad,1194,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161602_1.jpg,Bad,1195,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160102_1.jpg,Bad,1196,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162414.jpg,Bad,1197,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161754_1.jpg,Bad,1198,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_111955_1.jpg,Bad,1199,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160734.jpg,Bad,1200,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162845_1.jpg,Bad,1201,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153247.jpg,Bad,1202,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155015_1.jpg,Bad,1203,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161124_1.jpg,Bad,1204,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_163025_1.jpg,Bad,1205,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_132900_1.jpg,Bad,1206,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154445.jpg,Bad,1207,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_165653.jpg,Bad,1208,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153935.jpg,Bad,1209,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150814_1.jpg,Bad,1210,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170116.jpg,Bad,1211,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155905_1.jpg,Bad,1212,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155507_1.jpg,Bad,1213,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160025_1.jpg,Bad,1214,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_113034.jpg,Bad,1215,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154022_1.jpg,Bad,1216,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154236.jpg,Bad,1217,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152319.jpg,Bad,1218,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161418_1.jpg,Bad,1219,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161839_1.jpg,Bad,1220,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_103133.jpg,Bad,1221,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_171056.jpg,Bad,1222,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154546_1.jpg,Bad,1223,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_102935_1.jpg,Bad,1224,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170821_1.jpg,Bad,1225,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153915_1.jpg,Bad,1226,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153231_1.jpg,Bad,1227,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_171203_1.jpg,Bad,1228,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150733.jpg,Bad,1229,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170405_1.jpg,Bad,1230,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_163022_1.jpg,Bad,1231,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_114048_1.jpg,Bad,1232,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153416_1.jpg,Bad,1233,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_102241_1.jpg,Bad,1234,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162109_1.jpg,Bad,1235,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_151100_1.jpg,Bad,1236,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161958_1.jpg,Bad,1237,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155342_1.jpg,Bad,1238,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153438_1.jpg,Bad,1239,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155308_1.jpg,Bad,1240,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152400.jpg,Bad,1241,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154714.jpg,Bad,1242,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_151905.jpg,Bad,1243,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_115509_1.jpg,Bad,1244,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_114225_1.jpg,Bad,1245,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160617.jpg,Bad,1246,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170742_1.jpg,Bad,1247,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155946_1.jpg,Bad,1248,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160859_1.jpg,Bad,1249,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155713_1.jpg,Bad,1250,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155755_1.jpg,Bad,1251,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155351.jpg,Bad,1252,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155948.jpg,Bad,1253,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162517_1.jpg,Bad,1254,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154343_1.jpg,Bad,1255,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161310_1.jpg,Bad,1256,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153238_1.jpg,Bad,1257,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_114223_1.jpg,Bad,1258,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155609_1.jpg,Bad,1259,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161432_1.jpg,Bad,1260,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162836.jpg,Bad,1261,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_115533_1.jpg,Bad,1262,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_163009_1.jpg,Bad,1263,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153308.jpg,Bad,1264,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150225_1.jpg,Bad,1265,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_112132_1.jpg,Bad,1266,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160644_1.jpg,Bad,1267,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153454.jpg,Bad,1268,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_132720.jpg,Bad,1269,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152043_1.jpg,Bad,1270,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_113036.jpg,Bad,1271,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161808_1.jpg,Bad,1272,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150810_1.jpg,Bad,1273,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161440_1.jpg,Bad,1274,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160506.jpg,Bad,1275,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154816.jpg,Bad,1276,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161258_1.jpg,Bad,1277,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162621_1.jpg,Bad,1278,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154048.jpg,Bad,1279,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153221.jpg,Bad,1280,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155226_1.jpg,Bad,1281,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160024_1.jpg,Bad,1282,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_132819_1.jpg,Bad,1283,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_121905.jpg,Bad,1284,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170705.jpg,Bad,1285,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_165730_1.jpg,Bad,1286,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161537_1.jpg,Bad,1287,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_103042.jpg,Bad,1288,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152008.jpg,Bad,1289,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154418.jpg,Bad,1290,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152413.jpg,Bad,1291,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152219.jpg,Bad,1292,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_105913.jpg,Bad,1293,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155354.jpg,Bad,1294,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_102933_1.jpg,Bad,1295,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153727_1.jpg,Bad,1296,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152348_1.jpg,Bad,1297,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_115230_1.jpg,Bad,1298,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_103023.jpg,Bad,1299,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161952.jpg,Bad,1300,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160718_1.jpg,Bad,1301,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_171856.jpg,Bad,1302,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160016.jpg,Bad,1303,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162828_1.jpg,Bad,1304,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_112134_1.jpg,Bad,1305,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_101856_1.jpg,Bad,1306,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_113908.jpg,Bad,1307,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153245.jpg,Bad,1308,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161045_1.jpg,Bad,1309,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153204.jpg,Bad,1310,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160541_1.jpg,Bad,1311,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162842.jpg,Bad,1312,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155115.jpg,Bad,1313,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154626.jpg,Bad,1314,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_133208.jpg,Bad,1315,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154346_1.jpg,Bad,1316,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_111012_1.jpg,Bad,1317,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170747.jpg,Bad,1318,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155620.jpg,Bad,1319,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153140_1.jpg,Bad,1320,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160027_1.jpg,Bad,1321,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170853.jpg,Bad,1322,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_151231_1.jpg,Bad,1323,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153313_1.jpg,Bad,1324,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155454_1.jpg,Bad,1325,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_171243.jpg,Bad,1326,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152151_1.jpg,Bad,1327,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_102831.jpg,Bad,1328,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152005_1.jpg,Bad,1329,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162650_1.jpg,Bad,1330,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162426_1.jpg,Bad,1331,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154516_1.jpg,Bad,1332,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153555_1.jpg,Bad,1333,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154800.jpg,Bad,1334,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161143_1.jpg,Bad,1335,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154107.jpg,Bad,1336,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154957_1.jpg,Bad,1337,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_120003_1.jpg,Bad,1338,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161911_1.jpg,Bad,1339,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_105921_1.jpg,Bad,1340,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153720_1.jpg,Bad,1341,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170215_1.jpg,Bad,1342,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154050.jpg,Bad,1343,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_115307_1.jpg,Bad,1344,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_171437_1.jpg,Bad,1345,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154526_1.jpg,Bad,1346,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_171206_1.jpg,Bad,1347,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150718_1.jpg,Bad,1348,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_151105_1.jpg,Bad,1349,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_103135_1.jpg,Bad,1350,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161700.jpg,Bad,1351,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155618_1.jpg,Bad,1352,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154757.jpg,Bad,1353,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_112803.jpg,Bad,1354,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_114839_1.jpg,Bad,1355,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_171126.jpg,Bad,1356,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152103_1.jpg,Bad,1357,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161813_1.jpg,Bad,1358,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162928_1.jpg,Bad,1359,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_133045_1.jpg,Bad,1360,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153628_1.jpg,Bad,1361,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150334_1.jpg,Bad,1362,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150713_1.jpg,Bad,1363,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155517_1.jpg,Bad,1364,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162711.jpg,Bad,1365,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155357.jpg,Bad,1366,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153213.jpg,Bad,1367,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_162129_1.jpg,Bad,1368,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_151925_1.jpg,Bad,1369,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_115245_1.jpg,Bad,1370,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170150_1.jpg,Bad,1371,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_102132_1.jpg,Bad,1372,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154226_1.jpg,Bad,1373,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170956.jpg,Bad,1374,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154730.jpg,Bad,1375,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153941.jpg,Bad,1376,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230910_113838.jpg,Bad,1377,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155927_1.jpg,Bad,1378,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161517_1.jpg,Bad,1379,test
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170418_1.jpg,Bad,1380,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_150229_1.jpg,Bad,1381,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_152047.jpg,Bad,1382,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_161246_1.jpg,Bad,1383,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_171245_1.jpg,Bad,1384,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_155541_1.jpg,Bad,1385,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_171422.jpg,Bad,1386,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_153920.jpg,Bad,1387,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230916_110958.jpg,Bad,1388,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_170035.jpg,Bad,1389,train
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_154748.jpg,Bad,1390,val
Fruits/Bad Quality_Fruits/Pomegranate_Bad/IMG_20230813_160901_1.jpg,Bad,1391,train
